layer,n_folds,accuracy_mean,accuracy_std,oof_accuracy,silhouette_mean,silhouette_std,polar_consistency_mean,polar_consistency_std,abs_polar_consistency_mean,abs_polar_consistency_std,contradiction_index_mean,contradiction_index_std,bias_mean
27,5,0.8483333333333333,0.026761439599612018,0.8482587064676617,0.35496426224708555,0.029686327915419176,0.007519941963255406,0.011355837446316071,0.03231425890699029,0.017776014307515,0.5297988891601563,0.04612216464949973,-0.2126769721508026
28,5,0.8445987654320988,0.028289314295461884,0.8445273631840796,0.3471150457859039,0.03434100863932254,-0.005635217880761445,0.010525937598188786,0.021740378998219966,0.010073714704358201,0.4825778007507324,0.030484604786688796,-0.177155701816082
29,5,0.850787037037037,0.026841224660193053,0.8507462686567164,0.34174964427947996,0.029482018132647975,-0.00010483674705028534,0.01537501203439526,0.022272326983511448,0.008319641856694576,0.500220537185669,0.010598624060319058,-0.16231701672077178
30,5,0.8433796296296296,0.03237882337296761,0.8432835820895522,0.33302207589149474,0.029175643622196615,0.0024948135018348695,0.01550651471937812,0.027340492233633995,0.010769948549917852,0.5249885261058808,0.0451654421706711,-0.20731671750545502
31,5,0.8483333333333333,0.03084963390967421,0.8482587064676617,0.3387435615062714,0.02864895170320139,0.00623457974010364,0.01326782130611776,0.021887787451979078,0.016896325024602424,0.5486229658126831,0.08759556928431592,-0.21719796657562257
32,5,0.8421450617283952,0.03183901909162661,0.8420398009950248,0.33392404317855834,0.0276956694390554,-0.007465923670679331,0.020901832078446834,0.019876531418412925,0.01505646932457764,0.49253087639808657,0.050822440651230094,-0.17075298726558685
33,5,0.8346604938271606,0.028025277703661065,0.8345771144278606,0.33520097136497495,0.025685985388797933,-0.003657742385063312,0.013344482151214206,0.021157071944084026,0.019204130535026086,0.49887755513191223,0.05443750155340425,-0.18859886825084687
34,5,0.8309567901234569,0.03171119441765958,0.8308457711442786,0.3283803343772888,0.03374295021088632,3.0413493504966027e-05,0.0068182032791663585,0.019876092299818994,0.015361185828212857,0.5324375629425049,0.020741055600189722,-0.19114083647727967
35,5,0.8334104938271606,0.02720281144973253,0.8333333333333334,0.32934526205062864,0.021226370183109487,-0.007376465015113354,0.013227897290712737,0.017376621812582017,0.010613706277475073,0.5152863979339599,0.06348661942850121,-0.2184516340494156
36,5,0.8358641975308642,0.021090344272950916,0.835820895522388,0.32353790998458865,0.030454206254223872,0.012642596382647753,0.009595093052017804,0.03501909207552671,0.018390677375076662,0.5163489282131195,0.0640277506449862,-0.2510529518127441
